Name,Age,Final_Placement,Season,Is_AllStar,Partner_Strength_Index,Region_International,Region_Midwest,Region_Northeast,Region_Other/Unknown,Region_South,Region_West
Tori Spelling,51,12,33,0,10.428571428571429,False,False,False,False,False,True
Eric Roberts,68,10,33,0,10.0,False,False,False,False,False,True
Reginald VelJohnson,74,10,33,0,7.9375,False,False,True,False,False,False
Chandler Kinney,24,3,33,0,9.125,False,False,False,False,False,True
Dwight Howard ,38,6,33,0,4.6,False,False,False,False,True,False
Danny Amendola,39,5,33,0,5.5,False,False,False,False,True,False
Stephen Nedoroscik,26,4,33,0,6.666666666666667,False,False,False,False,True,False
Ilona Maher,28,2,33,0,6.111111111111111,False,False,False,False,False,True
Anna Delvey,33,12,33,0,12.0,True,False,False,False,False,False
Brooks Nader,27,9,33,0,8.461538461538462,False,False,True,False,False,False
Phaedra Parks,51,8,33,0,8.0,False,False,False,False,True,False
Jenn Tran,26,7,33,0,6.083333333333333,False,False,False,False,True,False
Joey Graziadei,29,1,33,0,6.444444444444445,False,False,False,False,True,False
Corey Feldman,54,13,34,0,6.444444444444445,False,False,False,False,False,True
Danielle Fishel,44,8,34,0,10.428571428571429,False,False,False,False,False,True
Elaine Hendrix,55,5,34,0,5.0,False,False,False,False,True,False
Baron Davis,46,13,34,0,10.0,False,False,False,False,False,True
Jordan Chiles,24,3,34,0,3.0,False,False,False,False,True,False
Andy Richter,59,7,34,0,7.0,False,False,False,False,False,True
Robert Irwin,22,1,34,0,1.0,True,False,False,False,False,False
Hilaria Baldwin,41,11,34,0,8.461538461538462,False,False,True,False,False,False
Lauren Jauregui,29,12,34,0,9.125,False,False,False,False,True,False
Scott Hoying,34,10,34,0,6.666666666666667,False,False,False,False,False,True
Alix Earle,24,2,34,0,2.0,False,False,False,False,True,False
Jen Affleck,26,9,34,0,9.0,False,False,False,False,False,True
Whitney Leavitt,32,6,34,0,5.190476190476191,False,False,False,False,False,True
Dylan Efron,33,4,34,0,4.0,False,False,False,False,False,True
